eid,date,people_string,location
e16,2010/01/02,Leah,a boba shop
e17,2010/01/05,Elena,a restaurant
e21,2010/01/18,Eliana,a boba shop
e25,2010/01/25,Wesley,a park
e28,2010/02/02,Ariana,a restaurant
e31,2010/02/06,Caleb,a restaurant
e34,2010/02/20,Jade,a boba shop
e35,2010/02/25,Lillian,a coffee Shop
e44,2010/03/13,Jack,a coffee Shop
e45,2010/03/15,Rylee,a restaurant
e48,2010/03/20,Lillian,a boba shop
e49,2010/03/25,Genesis,a park
e50,2010/03/27,Hazel,a restaurant
e51,2010/04/01,Anthony,a coffee Shop
e55,2010/04/03,Charles,a boba shop
e56,2010/04/08,Sophia,a park
e64,2010/04/23,Brook,a restaurant
e65,2010/04/28,Audrey,a coffee Shop
e70,2010/05/03,Cameron,a park
e72,2010/05/13,Isla,a coffee Shop
e75,2010/05/18,Nolan,a boba shop
e80,2010/05/24,Luca,a coffee Shop
e83,2010/05/31,Caroline,a coffee Shop
e86,2010/06/07,Lily,a restaurant
e90,2010/06/15,Gabriella,a park
e93,2010/06/18,Lily,a coffee Shop
e102,2010/07/03,Daniel,a boba shop
e103,2010/07/07,Leilani,a restaurant
e106,2010/07/10,Mason,a restaurant
e107,2010/07/14,Madison,a boba shop
e110,2010/07/17,Henry,a restaurant
e111,2010/07/19,Jaxon,a boba shop
e114,2010/07/27,Layla,a restaurant
e119,2010/08/01,Carson,a coffee Shop
e123,2010/08/06,Naomi,a coffee Shop
e124,2010/08/12,Lillian,a park
e127,2010/08/18,Jayden,a coffee Shop
e130,2010/08/21,Bella,a restaurant
e131,2010/08/24,Audrey,a park
e138,2010/09/08,Joseph,a restaurant
e141,2010/09/11,Elijah,a park
e142,2010/09/16,Carson,a restaurant
e146,2010/09/17,Chloe,a park
e147,2010/09/20,Sophia,a boba shop
e150,2010/09/25,Nicholas,a coffee Shop
e154,2010/10/01,Hazel,a coffee Shop
e155,2010/10/07,Caleb,a restaurant
e159,2010/10/13,Eliana,a coffee Shop
e162,2010/10/15,Mike,a coffee Shop
e166,2010/10/24,Lucy,a park
e170,2010/10/31,Emery,a boba shop
e171,2010/11/03,Kai,a coffee Shop
e175,2010/11/08,Miles,a restaurant
e178,2010/11/16,Marzieh,a coffee Shop
e181,2010/11/23,Nolan,a park
e184,2010/11/26,Connor,a park
e185,2010/11/29,Alexander,a restaurant
e187,2010/12/08,Emma,a boba shop
e191,2010/12/10,Nolan,a restaurant
e194,2010/12/19,Greyson,a park
e195,2010/12/20,Elizabeth,a coffee Shop
e197,2010/12/28,Grayson,a restaurant
e3399,2011/01/07,Gianna,a park
e3403,2011/01/08,Lillian,a park
e3410,2011/01/24,Jose,a restaurant
e3411,2011/01/28,Ariana,a restaurant
e3414,2011/02/01,Charlotte,a boba shop
e3417,2011/02/06,Landon,a boba shop
e3418,2011/02/08,Jane,a boba shop
e3422,2011/02/15,Jaxson,a park
e3426,2011/02/25,Cooper,a restaurant
e3431,2011/03/09,Owen,a restaurant
e3435,2011/03/12,Greyson,a coffee Shop
e3436,2011/03/18,Aurora,a restaurant
e3443,2011/03/26,Alon,a coffee Shop
e3444,2011/03/29,Gabriel,a restaurant
e3447,2011/04/04,Savannah,a coffee Shop
e3450,2011/04/11,Peyton,a boba shop
e3454,2011/04/18,Jordan,a park
e3457,2011/04/24,Brooklyn,a boba shop
e3461,2011/04/30,Nicholas,a coffee Shop
e3466,2011/05/08,Sarah,a restaurant
e3467,2011/05/12,Grace,a coffee Shop
e3471,2011/05/22,Isaiah,a coffee Shop
e3472,2011/05/26,Ivy,a boba shop
e3475,2011/05/31,Levi,a coffee Shop
e3481,2011/06/16,Natalie,a coffee Shop
e3486,2011/06/19,Anthony,a restaurant
e3487,2011/06/22,Noah,a boba shop
e3490,2011/06/27,Nolan,a restaurant
e3491,2011/06/29,Jose,a park
e3496,2011/07/05,Mia,a park
e3504,2011/07/23,Angel,a park
e3505,2011/07/29,Eliana,a restaurant
e3511,2011/08/17,Parker,a park
e3514,2011/08/22,Owen,a restaurant
e3515,2011/08/26,Easton,a park
e3522,2011/09/12,Wesley,a restaurant
e3523,2011/09/14,Leilani,a boba shop
e3526,2011/09/19,Jonathan,a park
e3527,2011/09/22,Parker,a boba shop
e3532,2011/09/28,Dylan,a boba shop
e3536,2011/10/02,Nolan,a park
e3537,2011/10/05,Sofia,a park
e3542,2011/10/15,Cameron,a restaurant
e3546,2011/10/24,Everly,a coffee Shop
e3547,2011/10/28,Michael,a coffee Shop
e3552,2011/11/05,Wesley,a coffee Shop
e3557,2011/11/22,Evelyn,a restaurant
e3561,2011/11/30,Lambert,a boba shop
e3564,2011/12/04,Charlotte,a boba shop
e3565,2011/12/06,Elizabeth,a boba shop
e3569,2011/12/10,Serenity,a park
e3570,2011/12/15,Maverick,a boba shop
e3574,2011/12/21,Olivia,a boba shop
e3577,2011/12/24,Natalie,a boba shop
e6776,2012/01/03,Ethan,a park
e6777,2012/01/06,Connor,a restaurant
e6781,2012/01/14,Elias,a boba shop
e6784,2012/01/20,Ezra,a park
e6787,2012/01/28,Alon,a boba shop
e6792,2012/02/08,Madeline,a restaurant
e6795,2012/02/14,Lillian,a boba shop
e6796,2012/02/16,Jayden,a restaurant
e6800,2012/02/24,Benjamin,a boba shop
e6803,2012/02/29,Nova,a boba shop
e6807,2012/03/04,Jose,a park
e6809,2012/03/11,Marzieh,a restaurant
e6810,2012/03/15,Sebastian,a coffee Shop
e6813,2012/03/24,Emma,a boba shop
e6816,2012/03/30,Roman,a coffee Shop
e6820,2012/04/05,Quinn,a park
e6823,2012/04/14,Everleigh,a park
e6826,2012/04/17,Isaiah,a coffee Shop
e6827,2012/04/20,Skylar,a coffee Shop
e6830,2012/04/25,Adam,a coffee Shop
e6834,2012/05/01,Gabriel,a restaurant
e6838,2012/05/11,Cameron,a coffee Shop
e6840,2012/05/13,Mila,a park
e6841,2012/05/16,Leonardo,a restaurant
e6844,2012/05/23,Skylar,a park
e6853,2012/06/12,Quinn,a coffee Shop
e6854,2012/06/13,Camila,a restaurant
e6857,2012/06/18,Jaxson,a boba shop
e6858,2012/06/22,James,a boba shop
e6861,2012/06/27,Owen,a park
e6864,2012/07/06,Santiago ,a boba shop
e6871,2012/07/15,Brook,a coffee Shop
e6872,2012/07/23,Lily,a coffee Shop
e6873,2012/07/27,Benjamin,a coffee Shop
e6877,2012/08/02,Willow,a park
e6881,2012/08/07,Peyton,a boba shop
e6882,2012/08/10,Parker,a boba shop
e6886,2012/08/13,Bella,a boba shop
e6890,2012/08/19,Camila,a coffee Shop
e6894,2012/08/28,Lydia,a boba shop
e6895,2012/08/29,Wesley,a coffee Shop
e6897,2012/09/02,Maya,a park
e6905,2012/09/16,Brook,a park
e6906,2012/09/19,Skylar,a coffee Shop
e6910,2012/09/23,Serenity,a coffee Shop
e6915,2012/10/05,Eli,a boba shop
e6919,2012/10/09,Alon,a park
e6920,2012/10/11,Savannah,a boba shop
e6923,2012/10/15,Camila,a park
e6926,2012/10/22,Lucy,a park
e6927,2012/10/25,Zoey,a restaurant
e6930,2012/11/01,Hailey,a park
e6933,2012/11/10,Alexander,a coffee Shop
e6937,2012/11/23,Nolan,a coffee Shop
e6941,2012/12/01,Leah,a coffee Shop
e6943,2012/12/02,Silas,a boba shop
e6944,2012/12/05,Hannah,a restaurant
e6947,2012/12/12,Josiah,a park
e6950,2012/12/17,Elias,a boba shop
e6951,2012/12/21,Jackson,a park
e6955,2012/12/27,Ryan,a coffee Shop
e10194,2013/01/01,Lydia,a restaurant
e10200,2013/01/15,Ava,a coffee Shop
e10203,2013/01/24,Connor,a restaurant
e10204,2013/01/28,Landon,a park
e10207,2013/02/02,Brooklyn,a coffee Shop
e10212,2013/02/12,Nova,a boba shop
e10219,2013/03/03,Dominic,a boba shop
e10221,2013/03/05,Everett,a coffee Shop
e10224,2013/03/14,Jack,a boba shop
e10225,2013/03/15,Kinsley,a restaurant
e10230,2013/03/28,Elijah,a restaurant
e10231,2013/03/30,Jane,a park
e10235,2013/04/08,Victoria,a restaurant
e10242,2013/04/17,Maya,a boba shop
e10243,2013/04/22,Mateo,a restaurant
e10246,2013/04/27,Madelyn,a park
e10248,2013/05/13,Quinn,a restaurant
e10250,2013/05/16,Jameson,a park
e10251,2013/05/17,Hazel,a coffee Shop
e10256,2013/06/01,Mason,a boba shop
e10259,2013/06/09,Isla,a boba shop
e10261,2013/06/11,Roman,a park
e10262,2013/06/16,Elizabeth,a park
e10265,2013/06/22,Caleb,a coffee Shop
e10269,2013/06/25,Marzieh,a park
e10270,2013/07/01,Elijah,a park
e10277,2013/07/22,Kennedy,a coffee Shop
e10280,2013/07/27,Caroline,a boba shop
e10283,2013/08/03,Luke,a park
e10287,2013/08/07,Jackson,a coffee Shop
e10293,2013/08/22,Quinn,a coffee Shop
e10294,2013/08/23,Parker,a boba shop
e10297,2013/08/29,Everleigh,a boba shop
e10298,2013/08/30,Luke,a park
e10302,2013/09/09,Christophe,a coffee Shop
e10307,2013/09/20,Audrey,a coffee Shop
e10312,2013/10/02,Eliana,a boba shop
e10313,2013/10/05,Cora,a boba shop
e10316,2013/10/19,Sarah,a restaurant
e10333,2013/11/25,Evelyn,a restaurant
e10338,2013/12/07,Luke,a park
e10340,2013/12/12,Alon,a boba shop
e10341,2013/12/15,Caleb,a coffee Shop
e10344,2013/12/23,Cameron,a boba shop
e10347,2013/12/26,Mike,a restaurant
e13507,2014/01/03,Leilani,a boba shop
e13508,2014/01/06,Sarah,a boba shop
e13511,2014/01/14,Jaxon,a boba shop
e13515,2014/01/20,Connor,a boba shop
e13521,2014/01/31,Jackson,a park
e13522,2014/02/01,Eliana,a boba shop
e13527,2014/02/07,Nora,a boba shop
e13528,2014/02/10,Santiago ,a park
e13530,2014/02/18,Luca,a park
e13535,2014/02/24,Jonathan,a boba shop
e13539,2014/02/27,Alon,a park
e13540,2014/03/03,Landon,a park
e13548,2014/03/13,Everly,a coffee Shop
e13549,2014/03/16,Natalia,a coffee Shop
e13554,2014/03/25,Ellie,a coffee Shop
e13561,2014/04/06,Jane,a park
e13562,2014/04/11,Quinn,a coffee Shop
e13563,2014/04/14,Mia,a boba shop
e13567,2014/04/17,Gabriel,a coffee Shop
e13571,2014/04/25,Victoria,a coffee Shop
e13572,2014/04/29,Easton,a restaurant
e13578,2014/05/13,Emma,a coffee Shop
e13582,2014/05/14,Eliana,a restaurant
e13586,2014/05/21,Mike,a park
e13587,2014/05/26,Abigail,a park
e13590,2014/06/03,Everleigh,a coffee Shop
e13595,2014/06/08,Nova,a restaurant
e13599,2014/06/17,Dominic,a park
e13602,2014/06/19,Leilani,a boba shop
e13603,2014/06/22,Jackson,a park
e13606,2014/06/26,Mila,a park
e13607,2014/06/30,Isla,a boba shop
e13610,2014/07/04,Robert,a coffee Shop
e13612,2014/07/10,Henry,a restaurant
e13613,2014/07/13,Landon,a coffee Shop
